Event EN;Event FR;
Men;Homme;
Women;Femme;
Mixed Aeronautics;Traversée des Alpes en planeur;
Mixed Alpinism;Alpinisme mixte;
Men's Individual;Individuel (H);
Men's Team;Équipe (H);
Men's Team Round;Équipe (H);
Mixed Team;Équipe Mixte;
Women's Individual;Individuel (F);
Women's Team;Équipe (F);
Women's Team Round;Équipe (F);
Men's Au Chapelet, 33 metres;au chapelet, 33m (H);
Men's Au Chapelet, 50 metres;au chapelet, 50m (H);
Men's Au Cordon Dore, 33 metres;au cordon doré, 33m (H);
Men's Au Cordon Dore, 50 metres;au cordon doré, 50m (H);
Men's Championnat Du Monde;Championnat Du Monde (H);
Men's Sur La Perche a La Herse;sur la perche à la herse (H);
Men's Sur La Perche a La Pyramide;sur la perche à la pyramide (H);
Men's Continental Style;continental style 50m (H);
Men's Double American Round;Double American Round (H);
Men's Double York Round;Double York Round (H);
Men's Pole Archery, Large Birds, Individual;Tir à la perche grands oiseaux (H);
Men's Pole Archery, Large Birds, Team;Tir à la perche grands oiseaux par équipe (H);
Men's Pole Archery, Small Birds, Individual;Tir à la perche petits oiseaux (H);
Men's Pole Archery, Small Birds, Team;Tir à la perche petits oiseaux par équipe (H);
Men's Target Archery, 28 metres, Individual;Tir au berceau, 28 metres (H);
Men's Target Archery, 28 metres, Team;Tir au berceau par équipe, 33 metres (H);
Men's Target Archery, 33 metres, Individual;Tir au berceau, 33 metres (H);
Men's Target Archery, 33 metres, Team;Tir au berceau par équipe, 33 metres (H);
Men's Target Archery, 50 metres, Individual;Tir au berceau, 50 metres (H);
Men's Target Archery, 50 metres, Team;Tir au berceau par équipe, 50 metres (H);
Women's Double Columbia Round;Double Columbia Round (F);
Women's Double National Round;Double National (F);
Mixed Architecture;Architecture;
Mixed Architecture, Designs For Town Planning;Architecture, urbanisme;
Mixed Architecture, Architectural Designs;Architecture;
Mixed Architecture, Unknown Event;Architecture, évènement inconnu;
Mixed Painting;Peinture;
Mixed Painting, Paintings;Peinture;
Mixed Painting, Applied Arts;Peinture, arts appliqués;
Mixed Painting, Graphic Arts;Peinture, arts graphiques;
Mixed Painting, Unknown Event;Peinture, évènement inconnu;
Mixed Literature;Littérature;
Mixed Literature, Unknown Event;Littérature, évènement inconnu;
Mixed Literature, Dramatic Works;Littérature dramatique;
Mixed Literature, Epic Works;Littérature épique;
Mixed Literature, Lyric Works;Littérature lyrique;
Mixed Sculpturing;Sculpture;
Mixed Sculpturing, Statues;Sculpture statues;
Mixed Sculpturing, Medals;Sculpture médailles;
Mixed Sculpturing, Medals And Plaques;Sculpture médailles et plaques;
Mixed Sculpturing, Medals And Reliefs;Sculpture médailles et reliefs;
Mixed Sculpturing, Reliefs;Sculpture reliefs;
Mixed Sculpturing, Unknown Event;Sculpture, évènement inconnu;
Mixed Painting, Drawings And Water Colors;Peinture, dessin et aquarelles;
Mixed Music;Musique;
Mixed Music, Vocals;Musique, chant;
Mixed Music, Unknown Event;Musique, évènement inconnu;
Mixed Music, Instrumental And Chamber;Musique de Chambre et instrumentale;
Mixed Music, Compositions For Solo Or Chorus;Musique, composition pour solo et chœur;
